Jenis_Kelamin,Umur,SIM,Kode_Daerah,Sudah_Asuransi,Umur_Kendaraan,Kendaraan_Rusak,Premi,Kanal_Penjualan,Lama_Berlangganan,Tertarik
0,49,1,8,0,0.5,1,46963,26,145,0
1,22,1,47,1,0.0,0,39624,152,241,0
1,24,1,28,1,0.0,0,110479,152,62,0
1,46,1,8,1,0.5,0,36266,124,34,0
1,35,1,23,0,0.5,1,26963,152,229,0
1,26,1,28,1,0.0,0,42721,152,198,0
0,24,1,28,1,0.0,0,65801,152,160,0
0,40,1,28,0,0.5,1,30981,26,79,0
1,23,1,15,1,0.0,0,32365,152,219,0
0,43,1,28,0,0.5,1,65380,25,41,1
0,53,1,28,1,0.5,0,80184,26,30,0
1,28,1,46,1,0.0,0,25657,152,133,0
1,24,1,21,1,0.0,0,35817,152,35,0
0,21,1,22,1,0.0,0,29404,160,249,0
0,23,1,36,0,0.0,1,36266,152,235,0
1,21,1,36,1,0.0,0,2630,152,93,0
0,22,1,21,1,0.0,0,44554,152,224,0
1,22,1,4,1,0.0,0,41897,152,265,0
1,50,1,46,0,0.5,1,32127,154,10,1
1,56,1,28,0,1.0,1,53157,26,15,1
1,75,1,12,1,0.5,0,22910,124,16,0
0,52,1,28,0,0.5,1,40796,122,187,1
1,27,1,42,1,0.0,0,38495,26,127,0
0,55,1,11,1,0.5,0,31819,120,195,0
1,53,1,28,0,0.5,1,27305,124,13,0
0,26,1,25,0,0.0,0,16230,152,15,0
1,52,1,30,0,0.5,1,2630,152,144,0
1,25,1,39,1,0.0,0,2630,152,149,0
1,73,1,28,0,0.5,1,29976,26,116,0
0,22,1,11,1,0.0,0,35343,152,93,0
0,75,1,28,1,0.5,0,31252,23,13,0
0,22,1,26,0,0.0,1,2630,152,74,0
1,65,1,28,1,0.5,0,2630,60,83,0
1,55,1,50,1,0.5,0,45836,26,184,0
1,23,1,32,0,0.0,1,2630,152,158,0
1,28,1,10,1,0.0,0,2630,152,65,0
1,36,1,28,0,0.5,1,36573,26,261,0
0,23,1,30,1,0.0,0,53635,152,99,0
1,28,1,11,0,0.0,1,27091,152,87,0
0,22,1,9,0,0.0,1,42427,152,134,0
1,35,1,28,0,1.0,1,35161,124,193,1
0,64,1,39,0,0.5,1,25026,124,172,0
0,47,1,28,0,0.5,1,38574,26,24,1
1,38,1,50,0,0.5,1,32001,124,63,1
1,26,1,37,0,0.0,1,36804,26,290,0
1,42,1,28,0,0.5,1,48320,122,69,0
0,25,1,28,1,0.0,0,48092,152,194,0
1,25,1,29,1,0.0,0,41741,152,116,0
1,47,1,39,0,0.5,0,34202,26,267,0
0,24,1,41,0,0.0,1,36263,152,77,1
0,43,1,28,0,0.5,1,49260,26,161,0
0,31,1,11,1,0.0,0,26121,152,255,0
0,28,1,41,1,0.0,0,38120,152,279,0
0,23,1,33,1,0.0,0,31781,152,100,0
1,22,1,2,1,0.0,0,18817,152,236,0
0,44,1,25,0,0.5,1,27400,124,222,0
0,49,1,41,0,1.0,1,2630,124,56,0
0,65,1,28,0,0.5,1,2630,124,157,0
1,35,1,36,1,0.5,0,21783,152,56,0
1,64,1,31,1,0.5,1,2630,9,253,0
1,27,1,15,0,0.0,1,50611,152,259,0
1,41,1,35,0,0.5,1,24694,154,291,0
0,68,1,28,1,0.5,0,84824,26,27,0
0,74,1,46,0,0.5,1,2630,156,206,0
1,20,1,13,0,0.0,1,34710,160,199,0
0,23,1,27,0,0.0,1,29296,152,214,0
1,35,1,45,1,0.5,0,32068,26,45,0
1,41,1,28,0,0.5,1,34794,60,30,0
1,41,1,28,1,0.5,0,38287,52,261,0
1,47,1,48,0,0.5,1,2630,124,13,0
0,44,1,28,0,1.0,1,48830,26,116,1
1,48,1,28,0,0.5,1,47373,26,95,0
0,45,1,28,0,0.5,1,26093,124,242,0
0,28,1,43,0,0.0,1,43415,152,205,0
0,44,1,41,0,0.5,1,38116,124,288,0
0,27,1,2,1,0.0,0,37883,152,70,0
1,24,1,34,0,0.0,0,18549,152,264,0
0,42,1,28,0,0.5,1,23315,124,186,0
0,22,1,18,1,0.0,0,33148,152,33,0
0,31,1,28,1,0.0,0,35963,152,25,0
1,43,1,28,0,1.0,1,41283,122,31,0
1,27,1,14,1,0.0,0,28288,152,199,0
1,44,1,48,0,0.5,1,2630,124,86,0
0,21,1,46,1,0.0,0,28866,160,15,0
1,29,1,28,0,0.5,0,2630,156,242,0
0,23,1,15,0,0.0,1,2630,152,161,0
0,48,1,36,1,0.5,0,36705,152,78,0
0,22,1,33,1,0.0,0,34220,152,186,0
0,24,1,24,1,0.0,0,18974,152,176,0
1,23,1,2,1,0.0,0,42366,152,151,0
1,51,1,29,1,0.5,0,28994,26,75,0
1,46,1,11,0,1.0,1,41990,91,165,0
1,26,1,30,0,0.0,1,2630,160,226,0
0,21,1,36,1,0.0,0,46510,152,90,0
1,43,1,6,1,0.5,0,29908,26,230,0
0,32,1,46,1,0.0,0,26504,152,174,0
1,25,1,27,1,0.0,0,2630,160,294,0
0,21,1,8,0,0.0,1,36385,160,209,0
1,22,1,20,0,0.5,0,2630,124,42,0
1,34,1,28,0,0.5,0,38894,122,69,0
0,66,1,35,1,0.5,0,32416,26,234,0
0,33,1,6,1,0.0,0,23476,152,58,0
0,55,1,50,0,0.5,1,35012,8,173,0
1,29,1,28,0,0.0,1,50619,124,95,0
1,41,1,8,0,0.5,1,31386,124,236,0
0,23,1,35,1,0.0,0,25424,152,56,0
0,27,1,37,0,0.0,1,40959,152,113,1
0,20,1,30,0,0.0,0,25701,160,283,0
1,27,1,8,1,0.0,0,2630,160,191,0
0,22,1,15,1,0.0,0,32508,152,114,0
1,52,1,8,1,0.5,0,33370,26,36,0
0,21,1,28,0,0.5,1,36774,154,280,1
1,48,1,41,0,1.0,1,24370,26,10,1
1,21,1,3,0,0.0,1,69138,160,188,0
0,42,1,28,0,0.5,1,2630,26,155,0
1,37,1,8,1,0.5,0,52378,152,238,0
0,30,1,3,1,0.0,0,16353,152,150,0
1,25,1,18,1,0.0,0,20868,152,102,0
0,61,1,15,0,0.5,0,30053,124,191,0
0,24,1,2,0,0.0,1,30730,26,281,0
0,62,1,18,0,0.5,1,17107,156,220,1
1,46,1,43,0,0.5,1,2630,26,174,0
0,26,1,49,1,0.0,1,29216,152,48,0
1,71,1,46,1,0.5,0,25734,11,139,0
1,46,1,12,0,1.0,1,2630,124,257,0
0,77,1,28,1,0.5,0,91379,26,271,0
1,38,1,8,1,0.5,0,31791,152,132,0
0,31,1,41,1,0.5,0,44383,154,109,0
0,66,1,28,0,1.0,1,59959,124,227,0
1,23,1,36,1,0.0,0,2630,160,192,0
1,67,1,18,0,0.5,1,30526,131,258,0
1,29,1,10,1,0.0,0,27171,152,197,0
1,71,1,50,1,0.5,0,33274,8,152,0
1,46,1,28,0,0.5,1,69856,26,80,1
1,43,1,46,0,0.5,1,23734,157,224,1
0,25,1,23,1,0.0,0,31597,152,109,0
1,52,1,28,0,0.5,1,42928,29,223,0
0,53,1,28,0,0.5,1,26962,26,240,0
0,43,1,8,0,0.5,1,2630,124,133,0
0,28,1,41,1,0.0,0,26283,152,79,0
1,23,1,6,1,0.0,0,32145,152,192,0
1,37,1,41,0,0.5,1,29456,26,164,0
1,25,1,46,1,0.0,0,24568,152,171,0
1,23,1,14,0,0.0,1,31667,152,17,1
1,32,1,45,0,0.0,1,18998,152,41,1
0,25,1,14,1,0.0,0,31511,152,255,0
1,71,1,28,0,0.5,1,35252,124,26,0
0,42,1,18,1,0.5,0,37610,25,256,0
1,69,1,28,0,0.5,1,29535,26,205,0
0,24,1,15,1,0.0,0,25167,152,229,0
0,22,1,50,1,0.0,0,21974,152,79,0
1,45,1,28,1,0.5,0,43846,124,44,0
0,24,1,45,1,0.0,0,2630,152,41,0
1,21,1,46,0,0.0,1,34587,152,63,0
1,70,1,28,1,0.5,0,48784,61,239,0
1,25,1,36,1,0.0,0,47348,152,229,0
1,21,1,47,0,0.0,1,36682,152,119,0
1,42,1,7,1,0.5,0,101413,124,104,0
0,47,1,41,0,0.5,1,34991,26,259,0
1,22,1,49,0,0.0,1,25703,160,199,0
0,25,1,29,1,0.0,0,28428,152,86,0
1,44,1,28,0,0.5,1,34598,26,30,0
0,33,1,45,0,0.5,1,2630,156,229,1
1,43,1,28,0,0.5,1,37219,124,240,0
1,40,1,8,1,0.5,0,29278,124,160,0
0,46,1,6,0,1.0,1,35195,124,234,0
0,29,1,30,1,0.0,0,25446,152,185,0
0,27,1,9,1,0.0,0,43300,152,188,0
0,42,1,14,0,0.5,1,2630,157,119,0
0,37,1,28,1,0.5,0,31502,26,263,0
0,31,1,2,1,0.5,0,45611,26,253,0
1,21,1,28,1,0.0,0,45733,152,244,0
0,28,1,6,1,0.0,0,28873,152,29,0
1,32,1,47,1,0.0,0,46837,152,65,0
0,38,1,28,0,0.5,1,26103,154,121,0
0,43,1,46,1,0.5,0,39040,11,98,0
1,61,1,11,0,0.5,1,29880,26,174,0
1,65,1,41,1,0.5,0,35505,152,87,0
0,25,1,28,0,0.0,1,61518,124,15,0
0,29,1,41,1,0.0,0,29020,152,202,0
0,28,1,29,1,0.0,0,2630,152,212,0
1,52,1,31,0,0.5,1,2630,148,154,0
1,61,1,29,1,0.5,0,36634,26,282,0
0,33,1,35,1,0.0,0,2630,152,262,0
1,63,1,8,1,0.5,0,33950,26,205,0
1,40,1,28,0,0.5,1,47600,124,265,0
1,28,1,36,0,0.0,1,2630,152,210,0
0,60,1,28,0,0.5,1,38916,125,159,0
